City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Bandar,ID,2022-02-12 04:41:35,2.05,99.75,83.3,70,100,2.15
107,Antibes,FR,2022-02-12 04:41:36,43.5624,7.1278,49.69,87,0,9.22
108,Qaqortoq,GL,2022-02-12 04:41:36,60.7167,-46.0333,30.7,83,100,8.63
109,Barrow,US,2022-02-12 04:41:36,71.2906,-156.7887,-34.58,100,0,8.05
110,Sitka,US,2022-02-12 04:41:37,57.0531,-135.33,42.69,87,100,8.05
111,Ancud,CL,2022-02-12 04:41:37,-41.8697,-73.8203,53.42,83,74,5.28
112,Yumen,CN,2022-02-12 04:39:23,40.2833,97.2,32.61,32,100,20.51
113,Ostrovnoy,RU,2022-02-12 04:41:37,68.0531,39.5131,16.77,94,98,6.96
114,Fare,PF,2022-02-12 04:36:46,-16.7,-151.0167,81.52,73,100,13.78
115,Kruisfontein,ZA,2022-02-12 04:41:38,-34.0033,24.7314,66.36,63,0,3.65
116,Kavaratti,IN,2022-02-12 04:41:38,10.5669,72.642,80.51,74,28,8.93
117,Dehloran,IR,2022-02-12 04:41:38,32.6941,47.2679,54.73,68,3,4.9
118,Xingcheng,CN,2022-02-12 04:41:39,40.6167,120.7167,28.76,45,82,11.74
119,Hongjiang,CN,2022-02-12 04:41:39,27.11,109.9956,42.01,92,100,2.75
120,Tautira,PF,2022-02-12 04:41:39,-17.7333,-149.15,80.62,74,77,13.18
121,Nara,JP,2022-02-12 04:41:40,34.6851,135.8049,53.91,35,99,4.29
122,Arraial Do Cabo,BR,2022-02-12 04:41:40,-22.9661,-42.0278,74.46,84,100,0.74
123,Klaksvik,FO,2022-02-12 04:41:40,62.2266,-6.589,43.72,89,100,22.64
124,Rebrikha,RU,2022-02-12 04:41:41,53.0733,82.3408,-0.09,94,95,8.63
125,Khatanga,RU,2022-02-12 04:41:41,71.9667,102.5,-2.02,85,93,12.37
126,Kapaa,US,2022-02-12 04:39:35,22.0752,-159.319,78.78,72,75,4.61
127,Vostok,RU,2022-02-12 04:41:41,46.4856,135.8833,14.99,92,100,5.77
128,Bereda,ES,2022-02-12 04:41:42,43.2686,-7.5406,45.14,100,82,0.85
129,Lucea,JM,2022-02-12 04:41:42,18.451,-78.1736,75.74,81,2,0.83
130,Lavrentiya,RU,2022-02-12 04:41:42,65.5833,-171.0,-25.51,93,8,8.14
131,Lazaro Cardenas,MX,2022-02-12 04:41:42,17.9583,-102.2,72.99,63,69,5.19
132,Saint George,US,2022-02-12 04:40:14,37.1041,-113.5841,63.19,25,0,18.41
133,Margate,GB,2022-02-12 04:42:43,51.3813,1.3862,42.51,85,45,5.99
134,Mahebourg,MU,2022-02-12 04:42:44,-20.4081,57.7,82.26,89,40,0.0
135,Portland,US,2022-02-12 04:42:23,45.5234,-122.6762,57.15,41,20,16.11
136,Vila Velha,BR,2022-02-12 04:42:44,-20.3297,-40.2925,73.35,96,75,3.44
137,Dawei,MM,2022-02-12 04:42:44,14.0833,98.2,90.1,39,72,8.05
138,Algiers,DZ,2022-02-12 04:37:55,36.7525,3.042,46.22,87,75,0.0
139,Mount Pleasant,US,2022-02-12 04:42:06,32.7941,-79.8626,51.98,81,0,0.0
140,Lagoa,PT,2022-02-12 04:42:45,39.05,-27.9833,59.29,80,95,17.56
141,Butaritari,KI,2022-02-12 04:42:45,3.0707,172.7902,82.51,75,87,17.09
142,Dingle,PH,2022-02-12 04:42:45,10.9995,122.6711,83.64,73,96,13.11
143,Seoul,KR,2022-02-12 04:40:24,37.5683,126.9778,53.11,28,0,8.05
144,Yar-Sale,RU,2022-02-12 04:42:46,66.8333,70.8333,-2.65,82,100,16.46
145,Norman Wells,CA,2022-02-12 04:42:46,65.282,-126.8329,-29.16,68,20,2.3
146,Manta,EC,2022-02-12 04:42:46,-0.95,-80.7333,75.58,81,70,5.88
147,Oranjemund,NA,2022-02-12 04:42:47,-28.55,16.4333,66.7,79,100,14.27
148,Emmett,US,2022-02-12 04:42:47,43.8735,-116.4993,39.76,66,100,1.99
149,Nome,US,2022-02-12 04:42:47,64.5011,-165.4064,-0.33,60,0,16.11
150,Petropavlovsk-Kamchatskiy,RU,2022-02-12 04:42:48,53.0452,158.6483,18.19,49,0,4.47
151,Montevideo,UY,2022-02-12 04:42:48,-34.8335,-56.1674,65.91,88,100,17.27
152,Staraya Toropa,RU,2022-02-12 04:42:48,56.2801,31.6702,24.4,87,100,9.93
153,Auki,SB,2022-02-12 04:42:49,-8.7676,160.7034,77.67,88,100,3.51
154,Monrovia,LR,2022-02-12 04:42:49,6.3005,-10.7969,77.31,89,9,6.08
155,Christchurch,NZ,2022-02-12 04:42:49,-43.5333,172.6333,62.94,92,75,10.36
156,Haines Junction,CA,2022-02-12 04:42:50,60.7522,-137.5108,24.75,74,100,2.3
157,Yerbogachen,RU,2022-02-12 04:42:50,61.2767,108.0108,-1.16,91,100,0.38
158,Longyearbyen,SJ,2022-02-12 04:42:50,78.2186,15.6401,11.25,93,100,4.45
159,Luderitz,NA,2022-02-12 04:41:39,-26.6481,15.1594,75.0,67,29,4.54
160,Faanui,PF,2022-02-12 04:42:51,-16.4833,-151.75,82.0,69,97,14.12
161,Alice Springs,AU,2022-02-12 04:42:51,-23.7,133.8833,85.55,17,0,9.22
162,Port Elizabeth,ZA,2022-02-12 04:42:13,-33.918,25.5701,62.89,88,0,2.3
163,Los Llanos De Aridane,ES,2022-02-12 04:42:51,28.6585,-17.9182,62.35,41,100,11.5
164,Ulladulla,AU,2022-02-12 04:42:52,-35.35,150.4667,74.77,85,95,8.63
165,Itarema,BR,2022-02-12 04:42:52,-2.9248,-39.9167,77.0,83,68,7.11
166,Namibe,AO,2022-02-12 04:42:52,-15.1961,12.1522,75.49,82,100,2.46
167,Luwuk,ID,2022-02-12 04:39:27,-0.9516,122.7875,80.47,86,92,2.28
168,Beringovskiy,RU,2022-02-12 04:42:53,63.05,179.3167,-25.22,94,19,9.19
169,San Policarpo,PH,2022-02-12 04:42:53,12.1791,125.5072,79.32,87,100,14.65
170,Bilma,NE,2022-02-12 04:42:53,18.6853,12.9164,57.78,27,0,8.14
171,Krasnoselkup,RU,2022-02-12 04:42:54,65.7,82.4667,-7.76,86,2,10.54
172,Avarua,CK,2022-02-12 04:42:54,-21.2078,-159.775,80.65,78,75,2.3
173,Port Hardy,CA,2022-02-12 04:42:54,50.6996,-127.4199,42.76,100,20,2.3
174,Thompson,CA,2022-02-12 04:42:55,55.7435,-97.8558,-20.04,69,75,4.61
175,Kirakira,SB,2022-02-12 04:42:55,-10.4544,161.9205,81.68,79,100,1.01
176,Wanning,CN,2022-02-12 04:42:55,18.8003,110.3967,71.6,73,66,12.39
177,Vuktyl,RU,2022-02-12 04:42:55,63.8567,57.3094,8.17,89,100,9.98
178,East London,ZA,2022-02-12 04:42:56,-33.0153,27.9116,72.54,94,75,3.44
179,Eyl,SO,2022-02-12 04:42:56,7.9803,49.8164,75.85,58,100,14.34
180,Dubrovnik,HR,2022-02-12 04:43:56,42.6481,18.0922,51.44,53,0,17.27
181,Banchory,GB,2022-02-12 04:43:57,57.0517,-2.4882,42.89,96,100,11.12
182,Hithadhoo,MV,2022-02-12 04:43:57,-0.6,73.0833,81.27,70,96,7.38
183,Chippewa Falls,US,2022-02-12 04:43:57,44.9369,-91.3929,8.78,69,75,10.36
184,Virginia Beach,US,2022-02-12 04:42:05,36.8529,-75.978,55.45,56,20,10.36
185,Carnarvon,AU,2022-02-12 04:43:58,-24.8667,113.6333,89.67,62,4,14.97
186,Bud,US,2022-02-12 04:43:58,39.447,-86.1758,39.45,87,93,15.32
187,Lalitpur,NP,2022-02-12 04:43:58,27.6667,85.3333,53.98,62,20,2.3
188,Oranzherei,RU,2022-02-12 04:43:59,45.8476,47.5663,41.0,82,64,13.38
189,Turukhansk,RU,2022-02-12 04:43:59,65.8167,87.9833,-7.17,79,2,4.45
190,Sainte-Suzanne,RE,2022-02-12 04:43:59,-20.9061,55.6089,84.38,71,40,3.44
191,Moura,PT,2022-02-12 04:44:00,38.1401,-7.4486,48.31,77,92,0.83
192,Kindu,CD,2022-02-12 04:44:00,-2.95,25.95,69.01,96,100,2.08
193,Jumla,NP,2022-02-12 04:44:00,29.2747,82.1838,46.99,55,0,1.86
194,Cidreira,BR,2022-02-12 04:44:01,-30.1811,-50.2056,73.74,84,1,18.16
195,At-Bashi,KG,2022-02-12 04:44:01,41.1702,75.8106,18.7,76,84,0.74
196,Weihai,CN,2022-02-12 04:44:01,37.5017,122.1136,39.96,57,47,8.86
197,Saskylakh,RU,2022-02-12 04:44:01,71.9167,114.0833,1.9,82,76,12.97
198,Provideniya,RU,2022-02-12 04:44:02,64.3833,-173.3,-15.56,89,4,8.88
199,Karatuzskoye,RU,2022-02-12 04:44:02,53.6072,92.8667,-4.49,89,80,1.43
200,Labuhan,ID,2022-02-12 04:44:02,-6.8844,112.2051,79.65,82,100,8.63
201,Iralaya,HN,2022-02-12 04:44:03,15.0,-83.2333,77.56,82,5,9.44
202,Sarny,UA,2022-02-12 04:44:03,51.338,26.6019,32.67,86,100,10.85
203,Port Shepstone,ZA,2022-02-12 04:44:03,-30.7414,30.455,76.19,81,2,4.0
204,Dikson,RU,2022-02-12 04:44:04,73.5069,80.5464,2.12,81,100,27.58
205,Novikovo,RU,2022-02-12 04:44:04,51.1537,37.8879,28.62,92,100,2.93
206,Lata,PT,2022-02-12 04:44:04,40.1629,-8.3327,50.92,96,84,1.01
207,Khatauli,IN,2022-02-12 04:44:05,29.2833,77.7167,63.0,38,0,11.03
208,Kodiak,US,2022-02-12 04:39:39,57.79,-152.4072,36.91,93,75,0.0
209,Kloulklubed,PW,2022-02-12 04:44:05,7.0419,134.2556,84.7,75,34,19.04
210,Mercedes,AR,2022-02-12 04:41:47,-34.6515,-59.4307,56.64,94,100,11.34
211,Vila,PT,2022-02-12 04:44:06,42.0304,-8.1588,40.33,92,32,3.0
212,Bonthe,SL,2022-02-12 04:44:06,7.5264,-12.505,75.36,94,30,3.96
213,Clyde River,CA,2022-02-12 04:44:06,70.4692,-68.5914,-16.37,76,100,29.93
214,San Carlos,VE,2022-02-12 04:44:06,9.6612,-68.5827,73.42,76,99,2.82
215,Honiara,SB,2022-02-12 04:40:10,-9.4333,159.95,78.39,87,100,4.12
216,Nouadhibou,MR,2022-02-12 04:44:07,20.931,-17.0347,68.27,52,80,10.78
217,Jupiter,US,2022-02-12 04:44:07,26.9342,-80.0942,74.01,88,2,1.01
218,Ilulissat,GL,2022-02-12 04:44:07,69.2167,-51.1,28.42,64,100,13.8
219,Charters Towers,AU,2022-02-12 04:44:08,-20.1,146.2667,93.45,28,0,12.03
220,Roma,US,2022-02-12 04:42:07,43.2128,-75.4557,48.67,86,100,6.91
221,Sao Jose Do Campestre,BR,2022-02-12 04:44:08,-6.3156,-35.7139,79.36,93,60,2.24
222,Kushima,JP,2022-02-12 04:39:16,31.4583,131.2333,56.71,79,100,8.86
223,Banikoara,BJ,2022-02-12 04:44:09,11.2985,2.4386,68.27,15,41,5.23
224,Jiayuguan,CN,2022-02-12 04:44:09,39.8167,98.3,32.41,35,100,9.62
225,Prince Rupert,CA,2022-02-12 04:40:07,54.3161,-130.3201,38.89,87,0,8.05
226,Hengyang,CN,2022-02-12 04:44:09,26.8881,112.615,45.7,78,100,5.73
227,Bastia,FR,2022-02-12 04:45:10,42.6667,9.3333,53.29,84,75,3.44
228,Berdigestyakh,RU,2022-02-12 04:45:10,62.0989,126.6992,-9.22,90,76,4.54
229,Maniitsoq,GL,2022-02-12 04:45:10,65.4167,-52.9,29.68,88,100,18.97
230,Constitucion,CL,2022-02-12 04:40:56,-35.3333,-72.4167,61.45,49,0,4.23
231,Hlobyne,UA,2022-02-12 04:45:11,49.3878,33.2596,35.38,98,100,10.42
232,Salalah,OM,2022-02-12 04:45:11,17.0151,54.0924,73.49,64,40,5.75
233,Lincoln,US,2022-02-12 04:45:07,40.8,-96.667,18.28,58,24,8.01
234,Palmer,US,2022-02-12 04:45:12,42.1584,-72.3287,47.89,57,100,12.66
235,Abatskoye,RU,2022-02-12 04:45:12,56.2875,70.4555,-3.96,92,67,13.06
236,Guayaramerin,BO,2022-02-12 04:45:12,-10.8368,-65.3614,73.78,92,99,3.2
237,Rawson,AR,2022-02-12 04:45:12,-43.3002,-65.1023,62.31,47,90,16.51
238,Cherskiy,RU,2022-02-12 04:45:13,68.75,161.3,-33.27,99,100,6.38
239,Nacala,MZ,2022-02-12 04:45:13,-14.5428,40.6728,74.97,86,100,5.01
240,Okhotsk,RU,2022-02-12 04:45:13,59.3833,143.3,2.46,78,36,8.1
241,Pascagoula,US,2022-02-12 04:45:14,30.3658,-88.5561,51.85,93,53,4.56
242,Kailua,US,2022-02-12 04:45:14,21.4022,-157.7394,76.41,70,100,6.91
243,Ponta Delgada,PT,2022-02-12 04:43:06,37.7333,-25.6667,60.49,77,75,12.66
244,Kahului,US,2022-02-12 04:45:15,20.8947,-156.47,77.02,70,20,6.91
245,Avera,US,2022-02-12 04:42:42,33.194,-82.5271,52.72,66,0,6.8
246,Padang,ID,2022-02-12 04:45:15,-0.9492,100.3543,87.85,63,100,5.53
247,Dzerzhinsk,RU,2022-02-12 04:45:15,56.2389,43.4631,12.43,98,93,5.53
248,Acari,PE,2022-02-12 04:45:16,-15.4311,-74.6158,72.05,80,61,3.0
