City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,San Vicente,AR,86.04,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
496,Kalmunai,LK,76.19,overcast clouds,7.4167,81.8167,VS Villa
498,Kirakira,SB,79.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
503,Huarmey,PE,77.81,clear sky,-10.0681,-78.1522,Hotel Miramar
507,Alta Floresta,BR,85.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
509,Jaguarao,BR,77.94,clear sky,-32.5661,-53.3758,Hotel Rio's
514,Biltine,TD,79.61,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
515,Poum,NC,81.66,overcast clouds,-20.2333,164.0167,
517,Jaguey Grande,CU,75.85,broken clouds,22.5269,-81.1286,Hostal lleana
520,Marang,MY,76.93,few clouds,5.2056,103.2059,DBarakah Homestay
522,Selma,US,75.18,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
524,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
527,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
531,Bodden Town,KY,82.98,broken clouds,19.2833,-81.25,Will T Place
538,Ko Samui,TH,82.33,overcast clouds,9.5357,99.9357,The Passage
541,Kieta,PG,78.8,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
542,Majene,ID,75.61,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
545,Benguela,AO,77.52,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
547,Aguie,NE,75.97,clear sky,13.506,7.7786,
548,Buenos Aires,AR,80.92,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
549,Daru,PG,79.0,broken clouds,-9.0763,143.2092,Daru Lodge
551,Mattru,SL,82.31,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
553,Moindou,NC,75.15,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
561,Pacasmayo,PE,77.43,broken clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
562,Lorengau,PG,80.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
564,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
565,Harper,LR,78.96,scattered clouds,4.375,-7.7169,Screensaver
568,Perbaungan,ID,78.91,overcast clouds,3.5679,98.956,Bendang Lama
571,Aripuana,BR,78.06,moderate rain,-9.1667,-60.6333,
573,Jawhar,SO,75.83,overcast clouds,2.7809,45.5005,hantiwadaag village part one
580,Sambava,MG,77.13,moderate rain,-14.2667,50.1667,Melrose
581,Amahai,ID,76.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
589,Nazca,PE,86.5,scattered clouds,-14.8333,-74.95,Casa Andina Standard Nasca
591,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
592,Santiago Del Estero,AR,85.86,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
593,Kattivakkam,IN,80.08,clear sky,13.2167,80.3167,Euronova Freezer
595,Benjamin Constant,BR,77.13,moderate rain,-4.3831,-70.0311,CASA AVALIADA
596,Manali,IN,80.08,clear sky,13.1667,80.2667,Sarathy Lodge
600,Kouroussa,GN,82.26,clear sky,10.65,-9.8833,Hotel Paillote
603,Farafangana,MG,76.41,clear sky,-22.8167,47.8333,Miarina
608,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
609,Ugoofaaru,MV,80.8,overcast clouds,5.6667,73.0,Ungoofaaru Inn
612,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
619,Sao Raimundo Nonato,BR,82.09,moderate rain,-9.0153,-42.6994,Real Hotel
620,Bequimao,BR,80.92,scattered clouds,-2.4489,-44.7825,Casa Dom Joaquim
621,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
623,Varzea Grande,BR,85.87,thunderstorm,-15.6467,-56.1325,Hotel Express
625,Manacapuru,BR,82.98,light rain,-3.2997,-60.6206,Novo Hotel
627,Hualmay,PE,76.71,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
