City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Nikolskoye,RU,59.7035,30.7861,33.87,93,100,13.0,light snow
115,Lavrentiya,RU,65.5833,-171.0,-20.7,92,21,3.51,few clouds
116,Klaksvik,FO,62.2266,-6.589,34.72,69,100,31.05,overcast clouds
117,Victoria,HK,22.2855,114.1577,60.94,91,100,8.25,light rain
118,Zharkovskiy,RU,55.849,32.2697,24.78,82,86,11.5,light snow
119,Kibala,TD,9.1104,18.3463,87.75,19,0,0.0,clear sky
120,Oussouye,SN,12.485,-16.5469,93.38,15,9,6.04,clear sky
121,Arenapolis,BR,-14.4503,-56.8461,80.17,86,99,1.83,light rain
122,Hoghiz,RO,45.9833,25.3,33.64,83,100,2.55,overcast clouds
123,High Rock,BS,26.6208,-78.2833,71.62,79,97,18.45,heavy intensity rain
124,Marienburg,PL,54.0359,19.0266,37.06,70,68,13.58,broken clouds
125,Buluang,PH,13.3068,123.3425,75.04,92,92,3.38,overcast clouds
126,Velingrad,BG,42.0272,23.9957,39.94,96,100,0.69,overcast clouds
127,Bilibino,RU,68.0546,166.4372,-32.3,100,94,2.53,overcast clouds
128,Kilindoni,TZ,-7.9139,39.6668,80.46,79,87,11.54,overcast clouds
129,Coria,ES,39.9879,-6.5377,51.46,92,100,4.18,overcast clouds
130,Shingu,JP,33.7333,135.9833,45.91,88,100,4.09,light rain
131,Nelson Bay,AU,-32.7167,152.15,65.68,72,55,9.28,broken clouds
132,Amos,CA,48.5669,-78.1162,2.17,72,99,1.77,overcast clouds
133,Luorong,CN,24.4058,109.6086,42.82,90,29,4.83,scattered clouds
134,Bontang,ID,0.1333,117.5,78.84,81,100,3.8,overcast clouds
135,Zhigansk,RU,66.7697,123.3711,-36.09,100,91,2.13,overcast clouds
136,Noumea,NC,-22.2763,166.4572,80.01,99,97,5.19,overcast clouds
137,Portland,US,45.5234,-122.6762,55.11,54,20,3.0,few clouds
138,Ambon,ID,-3.6954,128.1814,77.14,94,40,2.3,scattered clouds
139,Teya,RU,60.3778,92.6267,-13.47,98,38,3.51,scattered clouds
140,Longyearbyen,SJ,78.2186,15.6401,13.84,85,75,3.44,light snow
141,Pavlodolskaya,RU,43.7192,44.4781,36.18,55,19,4.21,few clouds
142,Mbuji-Mayi,CD,-6.15,23.6,70.12,97,100,5.14,light rain
143,Hagdan,PH,11.3333,123.9,78.78,83,89,13.02,overcast clouds
144,Inhambane,MZ,-23.865,35.3833,78.78,89,20,4.61,few clouds
145,Bredasdorp,ZA,-34.5322,20.0403,70.29,78,22,12.66,light rain
146,Namibe,AO,-15.1961,12.1522,76.44,77,95,6.98,overcast clouds
147,Aklavik,CA,68.2191,-135.0107,-26.57,68,75,3.44,broken clouds
148,Kachiry,KZ,53.0675,76.1036,6.24,93,88,13.29,overcast clouds
149,Isangel,VU,-19.55,169.2667,78.91,94,75,4.61,broken clouds
150,Guerrero Negro,MX,27.9769,-114.0611,75.07,28,35,3.67,scattered clouds
151,Avarua,CK,-21.2078,-159.775,77.05,94,98,1.14,overcast clouds
152,Alice Springs,AU,-23.7,133.8833,63.95,68,0,5.75,clear sky
153,Tiksi,RU,71.6872,128.8694,-13.88,94,86,11.52,overcast clouds
154,Arlit,NE,18.7369,7.3853,75.67,9,0,6.85,clear sky
